Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Reporting Authority,Access,First Time Discloser,Population,Population Year,City Location,Last update
2020,60271,Prefeitura de Bertioga,Bertioga,Brazil,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,64723,2020,POINT (-46.0599 -23.8081),2020-09-07T09:45:19.793
2020,54386,Tainan City Government,Tainan,"Taiwan, Greater China",East Asia,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,1880906,2019,POINT (120.227 22.9999),2020-09-07T09:45:19.793
2020,840018,Municipalidad Distrital de Ate,,Peru,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,647000,2017,,2020-09-07T09:45:19.793
2020,845302,Paraíso,,Costa Rica,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,58030,2011,,2020-09-07T09:45:19.793
2020,59572,"District of Saanich, BC",Saanich,Canada,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,114148,2016,POINT (123.378 48.4594),2020-09-07T09:45:19.793
2020,35859,City of Cleveland,Cleveland,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,383793,2018,POINT (-81.6944 41.4993),2020-09-07T09:45:19.793
2020,50354,Alcaldía de Tegucigalpa,Tegucigalpa,Honduras,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,1225043,2017,POINT (-87.2044 14.1051),2020-09-07T09:45:19.793
2020,50674,Município de Viseu,Viseu,Portugal,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,97249,2019,POINT (-7.91247 40.6566),2020-09-07T09:45:19.793
2020,31167,City of Lagos,Lagos,Nigeria,Africa,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,21000000,2015,POINT (3.3792 6.52437),2020-09-07T09:45:19.793
2020,3422,Greater London Authority,London,United Kingdom of Great Britain and Northern Ireland,Europe,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,8908081,2018,POINT (-0.07868 51.5048),2020-09-07T09:45:19.793
2020,60117,Winchester City Council,Winchester,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,124100,2017,,2020-09-07T09:45:19.793
2020,49342,City of Rochester,Rochester,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,210563,2010,POINT (-77.6109 43.161),2020-09-07T09:45:19.793
2020,31108,City of Houston,Houston,United States of America,North America,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,2343365,2019,POINT (-95.3694 29.7602),2020-09-07T09:45:19.793
2020,50154,City of Turku,Turku,Finland,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability,Union of the Baltic Cities",public,No,193000,2019,POINT (22.2666 60.4518),2020-09-07T09:45:19.793
2020,58310,City of Roanoke,Roanoke,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,99920,2018,POINT (-79.9414 37.271),2020-09-07T09:45:19.793
2020,845309,Puente Piedra,,Peru,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,,0,,2020-09-07T09:45:19.793
2020,50220,Métropole Nice Côte d'Azur,Nice,France,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,540000,2016,POINT (7.26195 43.7102),2020-09-07T09:45:19.793
2020,59165,Gladsaxe Kommune,Gladsaxe,Denmark,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,69262,2019,POINT (12.4887 55.7335),2020-09-07T09:45:19.793
2020,54667,Prefeitura Municipal de Contagem,Contagem,Brazil,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,659070,2018,,2020-09-07T09:45:19.793
2020,16581,City of Seattle,Seattle,United States of America,North America,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,704352,2016,POINT (-122.332 47.6062),2020-09-07T09:45:19.793
2020,60400,Municipalidad de Temuco,,Chile,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,282415,217,,2020-09-07T09:45:19.793
2020,31051,Coventry City Council,Coventry,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,366785,2018,POINT (-1.51217 52.4066),2020-09-07T09:45:19.793
2020,35883,City of San José,"San José, CA",United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,1046079,2017,POINT (-121.886 37.3382),2020-09-07T09:45:19.793
2020,44299,Dangjin City,Dangjin-si,Republic of Korea,East Asia,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,166057,2020,,2020-09-07T09:45:19.793
2020,62855,Egedal Municipality,Egedal,Denmark,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,43354,2020,POINT (12.2387 55.795),2020-09-07T09:45:19.793
2020,43911,City of Ottawa,Ottawa,Canada,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,991429,2018,POINT (-75.6972 45.4215),2020-09-07T09:45:19.793
2020,60656,"City of Piedmont, CA",Piedmont,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,11378,2017,POINT (-122.232 37.8244),2020-09-07T09:45:19.793
2020,54364,City of Kuala Lumpur,Kuala Lumpur,Malaysia,Southeast Asia and Oceania,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,1790000,216,POINT (101.687 3.139),2020-09-07T09:45:19.793
2020,59558,"City of Holland, MI",,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,33216,2019,,2020-09-07T09:45:19.793
2020,60369,Alcaldía Municipal de Armenia,,Colombia,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,301226,2018,,2020-09-07T09:45:19.793
2020,31186,Changwon City,Changwon,Republic of Korea,East Asia,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,1072657,2017,POINT (126.949 35.1542),2020-09-07T09:45:19.793
2020,74453,"City of Highland Park, IL",,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,29767,2019,,2020-09-07T09:45:19.793
2020,848122,Alajuela,,Costa Rica,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,297879,2016,,2020-09-07T09:45:19.793
2020,43970,Alcaldía Distrital de Barranquilla,Barranquilla,Colombia,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,1236489,2019,POINT (-74.7782 10.9815),2020-09-07T09:45:19.793
2020,847922,Junta Municipal de Medio Ambiente Lagunas (JIMAL),,Mexico,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,132735,2015,,2020-09-07T09:45:19.793
2020,55799,"Arlington, VA",Arlington,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,226400,2019,POINT (-76.0026 37.2265),2020-09-07T09:45:19.793
2020,49339,City and County of Honolulu,Honolulu,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,974563,2019,POINT (157.59 21.28),2020-09-07T09:45:19.793
2020,73765,Tuguegarao City,,Philippines,Southeast Asia and Oceania,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,165700,2019,,2020-09-07T09:45:19.793
2020,60274,Prefeitura de Cruzeiro do Sul,Cruzeiro do Sul,Brazil,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,88376,2019,POINT (-72.6761 -7.62799),2020-09-07T09:45:19.793
2020,2185,Bristol City Council,Bristol,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,463400,2018,,2020-09-07T09:45:19.793
2020,31117,City of Toronto,Toronto,Canada,North America,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,2919971,2018,POINT (-79.3832 43.6532),2020-09-07T09:45:19.793
2020,54603,Alcaldia de Pasto,Pasto,Colombia,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,455678,2015,,2020-09-07T09:45:19.793
2020,43930,The Hague,The Hague,Netherlands,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,546847,2020,POINT (4.3007 52.0705),2020-09-07T09:45:19.793
2020,59653,"City of Manhattan Beach, CA",Manhattan Beach,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,35532,2018,POINT (-118.405 33.8889),2020-09-07T09:45:19.793
2020,839650,Ayuntamiento de Uriangato,,Mexico,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,1241,2015,,2020-09-07T09:45:19.793
2020,13113,Newcastle City Council,Newcastle upon Tyne,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,300196,2018,,2020-09-07T09:45:19.793
2020,36036,City of Ibadan,Ibadan,Nigeria,Africa,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,6591589,2020,POINT (3.94704 7.37753),2020-09-07T09:45:19.793
2020,31163,Istanbul Metropolitan Municipality,Istanbul,Turkey,Europe,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,15519267,2019,POINT (28.9784 41.0082),2020-09-07T09:45:19.793
2020,59180,Middelfart Kommune,Middelfart,Denmark,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,38553,2019,POINT (9.87264 55.471),2020-09-07T09:45:19.793
2020,50385,Prefeitura de Campo Grande,Campo Grande,Brazil,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,786797,2010,POINT (-37.7142 -7.10801),2020-09-07T09:45:19.793
2020,60546,Nanjing Municipal People's Government,Nanjing,China,East Asia,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,8500000,2019,POINT (118.797 32.0603),2020-09-07T09:45:19.793
2020,50680,Município de Cascais,Cascais,Portugal,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,212474,2018,POINT (-9.42229 38.697),2020-09-07T09:45:19.793
2020,31166,Jakarta City Government,Jakarta,Indonesia,Southeast Asia and Oceania,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,10557810,2020,POINT (106.865 -6.1751),2020-09-07T09:45:19.793
2020,50650,City of Gibraltar,Gibraltar,Gibraltar,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,34838,2018,POINT (-5.35359 36.1408),2020-09-07T09:45:19.793
2020,73802,Crespo,,Argentina,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,21338,2017,,2020-09-07T09:45:19.793
2020,848138,Prefeitura de Conde (Paraíba),,Brazil,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,24610,2019,,2020-09-07T09:45:19.793
2020,43905,City of San Antonio,San Antonio,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,1547253,2019,POINT (-98.4936 29.4241),2020-09-07T09:45:19.793
2020,50368,Municipalidad de Provincial de Arequipa,Arequipa,Peru,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,1009132,2017,POINT (-75.329 -11.0557),2020-09-07T09:45:19.793
2020,63999,"City of Miami Beach, FL",Miami Beach,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,91917,2017,POINT (-80.13 25.7906),2020-09-07T09:45:19.793
2020,31177,Salt Lake City,Salt Lake City,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,200591,2018,POINT (-111.891 40.7608),2020-09-07T09:45:19.793
2020,54697,Prefeitura Municipal de Cerquilho,Cerquilho,Brazil,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,39617,2010,POINT (-47.7463 -23.167),2020-09-07T09:45:19.793
2020,832610,"Orange County, NC",,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,142830,2017,,2020-09-07T09:45:19.793
2020,59167,Municipalidad de Providencia,Providencia,Chile,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,142079,2017,POINT (-70.6092 -33.4313),2020-09-07T09:45:19.793
2020,60233,Pärnu City Government,Pärnu,Estonia,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability,Union of the Baltic Cities",public,No,51504,2020,POINT (24.4966 58.3858),2020-09-07T09:45:19.793
2020,839673,Municipalidad Distrital de Jesús María,,Peru,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,75359,2019,,2020-09-07T09:45:19.793
2020,58595,Municipalidad de Belén,Belén,Costa Rica,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,24000,2017,POINT (-84.1503 10.0035),2020-09-07T09:45:19.793
2020,51079,Guatemala City,Guatemala City,Guatemala,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,902522,2020,POINT (-90.5069 14.6349),2020-09-07T09:45:19.793
2020,3429,City of Stockholm,Stockholm,Sweden,Europe,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,981105,2020,POINT (18.0686 59.3293),2020-09-07T09:45:19.793
2020,54034,City of Grand Rapids,Grand Rapids,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,201013,2019,,2020-09-07T09:45:19.793
2020,59678,"City of Evanston, IL",Evanston,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,75603,2015,POINT (-87.6898 42.0669),2020-09-07T09:45:19.793
2020,73530,"Town of Lexington, MA","Lexington, MA",United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,31394,2010,POINT (-71.2269 42.4443),2020-09-07T09:45:19.793
2020,36044,Seferihisar Municipality,Seferihisar,Turkey,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,44526,2020,POINT (26.8344 38.1951),2020-09-07T09:45:19.793
2020,13506,Nottingham City Council,Nottingham,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,332900,2019,,2020-09-07T09:45:19.793
2020,36223,Antananarivo,Antananarivo,Madagascar,Africa,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,3209933,2019,POINT (47.5079 -18.8792),2020-09-07T09:45:19.793
2020,840936,Prefeitura de Guanhães,,Brazil,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,34319,2019,,2020-09-07T09:45:19.793
2020,1850,Birmingham City Council,Birmingham,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,1141400,2018,,2020-09-07T09:45:19.793
2020,59537,"City of Denton, TX",Denton,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,141541,2019,POINT (-97.1331 33.2148),2020-09-07T09:45:19.793
2020,59631,"City of San Leandro, CA",San Leandro,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,90553,2019,POINT (-122.156 37.7249),2020-09-07T09:45:19.793
2020,60387,Alcaldía de Sincelejo,Sincelejo,Colombia,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,277773,2020,POINT (-75.3906 9.30457),2020-09-07T09:45:19.793
2020,50792,Ville de Monaco,Monaco,Monaco,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,38100,2019,POINT (7.42081 43.7374),2020-09-07T09:45:19.793
2020,50545,City of Henderson,Henderson,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,310374,2018,,2020-09-07T09:45:19.793
2020,32480,City of Adelaide,Adelaide,Australia,Southeast Asia and Oceania,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,24807,2018,POINT (138.601 -34.9285),2020-09-07T09:45:19.793
2020,50381,Municipio de Torreón,Torreón,Mexico,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,679288,2015,POINT (-103.407 25.5428),2020-09-07T09:45:19.793
2020,58865,Jammerbugt Kommune,Jammerbugt,Denmark,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,38638,2018,POINT (9.54153 57.1453),2020-09-07T09:45:19.793
2020,832274,Município de Odemira,,Portugal,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,26066,2011,,2020-09-07T09:45:19.793
2020,35755,Village of Kadiovacik,Urla,Turkey,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,240,2019,POINT (26.5536 38.3434),2020-09-07T09:45:19.793
2020,58609,City of Ærøskøbing,Ærøskøbing,Denmark,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,6058,2019,POINT (10.4047 54.8914),2020-09-07T09:45:19.793
2020,60318,Prefeitura de Porto Velho,Porto Velho,Brazil,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,494,2014,POINT (-40.3776 -20.3338),2020-09-07T09:45:19.793
2020,841540,South Lakeland District Council,,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,104955,2019,,2020-09-07T09:45:19.793
2020,31112,Kaohsiung City Government,Kaohsiung,"Taiwan, Greater China",East Asia,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,2773198,2019,POINT (120.344 22.6297),2020-09-07T09:45:19.793
2020,60307,Prefeitura de Nova Friburgo,,Brazil,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,182082,2010,,2020-09-07T09:45:19.793
2020,54048,City of Knoxville,Knoxville,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,187603,2019,POINT (-83.9207 35.9606),2020-09-07T09:45:19.793
2020,55371,Municipalidad de Vicente López,Vicente López,Argentina,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,270929,2010,POINT (-68.833 -32.8941),2020-09-07T09:45:19.793
2020,44077,Kampala City,Kampala,Uganda,Africa,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,1631210,2018,,2020-09-07T09:45:19.793
2020,50558,"City of London, ON","London, ON",Canada,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,401000,2018,POINT (-81.2497 42.9837),2020-09-07T09:45:19.793
2020,826210,Junta Intermunicipal de Medio Ambiente de la Costa Sur (JICOSUR),JICOSUR,Mexico,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,147918,2010,POINT (-104.38 19.34),2020-09-07T09:45:19.793
2020,69848,Municipio de Loja,Loja,Ecuador,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,214855,2010,POINT (-3.99313 -79.2042),2020-09-07T09:45:19.793
2020,50549,City of Fort Worth,Fort Worth,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,909585,2019,POINT (-97.3308 32.7555),2020-09-07T09:45:19.793
2020,54337,Greater Amman Municipality,Amman,Jordan,Middle East,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,3800000,2018,POINT (35.9284 31.9454),2020-09-07T09:45:19.793
2020,50794,Prefeitura Municipal de Caieiras,Caieiras,Brazil,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,101470,2019,POINT (-46.7402 -23.3612),2020-09-07T09:45:19.793
2020,826381,Junta Intermunicipal de la Región Norte del Estado de Jalisco (JINOR),,Mexico,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,4412,2020,,2020-09-07T09:45:19.793
2020,54100,"City of Columbia, MO","Columbia, MO",United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,123412,2020,POINT (-92.3341 38.9517),2020-09-07T09:45:19.793
2020,58395,Bærum Kommune,Bærum,Norway,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,127867,2019,POINT (10.5938 59.9205),2020-09-07T09:45:19.793
2020,60588,City of Alba-Iulia,Alba-Iulia,Romania,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,74000,2020,POINT (23.569 46.0823),2020-09-07T09:45:19.793
2020,842160,Balikesir Metropolitan Municipality,Balikesir,Turkey,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,1228620,2019,POINT (27.8903 39.6533),2020-09-07T09:45:19.793
2020,73879,Roskilde,Roskilde,Denmark,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,87542,2019,POINT (12.0878 55.6419),2020-09-07T09:45:19.793
2020,74423,"City of Key West, FL",Key West,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,24565,2018,POINT (24.5551 81.78),2020-09-07T09:45:19.793
2020,52897,City of Aspen,Aspen,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,9003,2017,POINT (-106.837 39.195),2020-09-07T09:45:19.793
2020,50665,Município de Ovar,Ovar,Portugal,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,55398,2017,POINT (-8.59723 40.8901),2020-09-07T09:45:19.793
2020,840371,Falkoping Kommun,Falköping,Sweden,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,33334,2020,,2020-09-07T09:45:19.793
2020,35274,"City of Portland, ME","Portland, ME",United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,66937,2017,POINT (-70.2553 43.6615),2020-09-07T09:45:19.793
2020,54510,Umeå municipality,Umeå,Sweden,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability,Union of the Baltic Cities",public,No,127119,2018,POINT (20.263 63.8258),2020-09-07T09:45:19.793
2020,35860,City of Dallas,Dallas,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,1345047,2018,POINT (-96.8004 32.7801),2020-09-07T09:45:19.793
2020,59707,"Town of Princeton, NJ",,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,31822,2019,,2020-09-07T09:45:19.793
2020,17411,Southend on Sea Borough Council,Southend-on-Sea,United Kingdom of Great Britain and Northern Ireland,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,182463,2018,,2020-09-07T09:45:19.793
2020,54098,City of Thunder Bay,Thunder Bay,Canada,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,107909,2016,POINT (-89.2477 48.3809),2020-09-07T09:45:19.793
2020,50380,Municipio de Bucaramanga,Bucaramanga,Colombia,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,528269,2016,POINT (-73.1227 7.11034),2020-09-07T09:45:19.793
2020,59538,City of Mississauga,Mississauga,Canada,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,721599,2016,POINT (43.589 -79.6441),2020-09-07T09:45:19.793
2020,54652,Prefeitura de Osasco,Osasco,Brazil,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,676,2017,POINT (23.5328 46.7919),2020-09-07T09:45:19.793
2020,36152,Tallinn City Council,Tallinn,Estonia,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability,Union of the Baltic Cities",public,Yes,445024,2020,POINT (24.7536 59.437),2020-09-07T09:45:19.793
2020,36282,Comune di Chieti,Chieti,Italy,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,52125,2018,POINT (14.1399 42.3828),2020-09-07T09:45:19.793
2020,31169,Government of Hong Kong Special Administrative Region,Hong Kong,"China, Hong Kong Special Administrative Region",East Asia,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,7507400,2019,POINT (114.14 22.2881),2020-09-07T09:45:19.793
2020,59669,City of North Vancouver,North Vancouver,Canada,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,52898,2016,POINT (-123.072 49.32),2020-09-07T09:45:19.793
2020,49330,Kansas City,Kansas City,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,505198,2020,POINT (-94.573 39.1429),2020-09-07T09:45:19.793
2020,59166,Municipalidad de Independencia,Independencia,Chile,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,105794,2020,POINT (-68.8154 -32.8421),2020-09-07T09:45:19.793
2020,54298,Dalian Municipal People's Government,Dalian,China,East Asia,"C40,CDP Cities,ICLEI - Local Governments for Sustainability",public,No,5952057,2019,POINT (121.567 38.9389),2020-09-07T09:45:19.793
2020,50555,City of Hamilton,Hamilton,Canada,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,572575,2018,POINT (-79.8661 43.25),2020-09-07T09:45:19.793
2020,53921,"City of Tempe, AZ",Tempe,United States of America,North America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,192364,2018,POINT (-111.94 33.4255),2020-09-07T09:45:19.793
2020,58671,Helsingør Kommune / Elsinore Municipality,Helsingør,Denmark,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,62695,2020,POINT (12.5921 56.0308),2020-09-07T09:45:19.793
2020,54409,City of Espoo,Espoo,Finland,Europe,"CDP Cities,ICLEI - Local Governments for Sustainability,Union of the Baltic Cities",public,No,289731,2019,POINT (24.6559 60.2055),2020-09-07T09:45:19.793
2020,68378,Municipalidad de Santiago de Surco,Santiago de Surco,Peru,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,No,499210,2015,POINT (-77.0051 -12.1453),2020-09-07T09:45:19.793
2020,848404,Mongui,,Colombia,Latin America,"CDP Cities,ICLEI - Local Governments for Sustainability",public,Yes,4469,2020,,2020-09-07T09:45:19.793
